Info 0    [16:31:53.303] Starting TS Server
Info 1    [16:31:53.305] Version: 4.7.3
Info 2    [16:31:53.305] Arguments: /usr/bin/node /usr/lib/node_modules/typescript/lib/tsserver.js --logFile /home/alex/Documents/kakeibo/src/context/.log/tsserver.log --logVerbosity info --cancellationPipeName /tmp/4385d54a5a9a036f5a7e9f61d501571e/tscancellation*
Info 3    [16:31:53.305] Platform: linux NodeVersion: 16 CaseSensitive: true
Info 4    [16:31:53.305] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [16:31:53.332] Format host information updated
Info 6    [16:31:53.349] Search path: /home/alex/Documents/kakeibo/src/context
Info 7    [16:31:53.351] For info: /home/alex/Documents/kakeibo/src/context/db.ts :: No config files found.
Info 8    [16:31:53.361] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 9    [16:31:58.109] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 4747.604662001133ms
Info 10   [16:31:58.110] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [16:31:58.110] 	Files (19)

Info 12   [16:31:58.110] -----------------------------------------------
Info 13   [17:11:37.158] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 14   [17:11:37.355] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false structureIsReused:: Completely Elapsed: 193.8319509923458ms
Info 15   [17:11:37.355] Different program with same set of files
Info 16   [17:11:37.359] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 17   [17:11:37.400] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false structureIsReused:: Completely Elapsed: 41.39834699034691ms
Info 18   [17:11:37.401] Different program with same set of files
Info 19   [17:11:38.429] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 20   [17:11:38.475] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false structureIsReused:: Completely Elapsed: 45.253032982349396ms
Info 21   [17:11:38.476] Different program with same set of files
Info 22   [17:11:38.497] getCompletionData: Get current token: 0.09629198908805847
Info 23   [17:11:38.497] getCompletionData: Is inside comment: 0.029778003692626953
Info 24   [17:11:38.499] getCompletionData: Get previous token: 0.5118659734725952
Info 25   [17:11:38.503] getCompletionsAtPosition: isCompletionListBlocker: 1.8176000118255615
Info 26   [17:11:38.509] getCompletionData: Semantic work: 5.429392009973526
Info 27   [17:11:38.515] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 2.361046999692917
Info 28   [17:11:38.521] getCompletionData: Get current token: 0.05316397547721863
Info 29   [17:11:38.521] getCompletionData: Is inside comment: 0.029041022062301636
Info 30   [17:11:38.522] getCompletionData: Get previous token: 0.18590399622917175
Info 31   [17:11:38.522] getCompletionsAtPosition: isCompletionListBlocker: 0.056504011154174805
Info 32   [17:11:38.523] getCompletionData: Semantic work: 0.09952297806739807
Info 33   [17:11:38.524] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.7197100222110748
Info 34   [17:11:38.525] getCompletionData: Get current token: 0.13854801654815674
Info 35   [17:11:38.525] getCompletionData: Is inside comment: 0.018006980419158936
Info 36   [17:11:38.526] getCompletionData: Get previous token: 0.21474900841712952
Info 37   [17:11:38.526] getCompletionsAtPosition: isCompletionListBlocker: 0.050227999687194824
Info 38   [17:11:38.526] getCompletionData: Semantic work: 0.09874799847602844
Info 39   [17:11:38.527] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.6186650097370148
Info 40   [17:11:38.529] getCompletionData: Get current token: 0.0591529905796051
Info 41   [17:11:38.529] getCompletionData: Is inside comment: 0.023626983165740967
Info 42   [17:11:38.529] getCompletionData: Get previous token: 0.17781901359558105
